platform,leg,config,threads,node,bw_gbps,latency_ns,implied_mlp
intel_emr,thread_sweep,wc_local,2,0,21.999000000000002,84.54594335225794,29.061346996973796
intel_emr,thread_sweep,wc_local,4,0,43.981,84.54594335225794,58.10023647774463
intel_emr,thread_sweep,wc_local,8,0,84.585,84.54594335225794,111.73935341329278
intel_emr,thread_sweep,wb_cxl,1,2,8.901,164.62648503299576,22.895942863729616
intel_emr,thread_sweep,wb_cxl,2,2,17.157,164.62648503299576,44.13275943298607
intel_emr,thread_sweep,wb_cxl,4,2,24.297,164.62648503299576,62.49890166947966
intel_emr,thread_sweep,wb_cxl,8,2,24.29,164.62648503299576,62.48089564767917
intel_emr,thread_sweep,wb_local,1,0,14.216,84.54594335225794,18.779767667120293
intel_emr,thread_sweep,wb_local,2,0,28.749000000000002,84.54594335225794,37.97830195990725
intel_emr,thread_sweep,wb_local,4,0,56.583,84.54594335225794,74.74786113595017
intel_emr,thread_sweep,wb_local,8,0,107.34400000000001,84.54594335225794,141.80468348757466
intel_emr,thread_sweep,wc_cxl,1,2,6.381,164.62648503299576,16.413775015555405
intel_emr,thread_sweep,wc_cxl,2,2,12.963999999999999,164.62648503299576,33.347152374496204
intel_emr,thread_sweep,wc_cxl,4,2,23.287000000000003,164.62648503299576,59.90088995255271
intel_emr,thread_sweep,wc_cxl,8,2,24.273999999999997,164.62648503299576,62.439739026420916
intel_emr,thread_sweep,wc_local,1,0,10.907,84.54594335225794,14.408478189735582
intel_emr,thread_sweep,wc_local,2,0,22.084,84.54594335225794,29.173634577988505
intel_emr,thread_sweep,wc_local,4,0,43.956,84.54594335225794,58.067210718622654
intel_emr,thread_sweep,wc_local,8,0,84.53000000000002,84.54594335225794,111.66669674322445
intel_emr,thread_sweep,wb_cxl,1,2,8.903,164.62648503299576,22.901087441386895
intel_emr,thread_sweep,wb_cxl,2,2,17.375999999999998,164.62648503299576,44.69609068645834
intel_emr,thread_sweep,wb_cxl,4,2,24.061999999999998,164.62648503299576,61.89441379474912
